,Company,line_key,header_key,JRNENTRY,trxdate,ACTNUMBR_1,ACTNUMBR_2,ACTNUMBR_3,ACTNUMBR_4,ACTNUMBR_5,REFRENCE,DSCRIPTN,CRDTAMNT,DEBITAMT,ORCRDAMT,ORDBTAMT,CURNCYID,CC_CODE_LEGACY,FULLGL,gp_rec_id,FUNLCURR,gp_trip_code,gp_service_id,Header Key*,Add Only,Create Journal with Errors,Accounting Journal,Auto Complete,Comment,Worker,Accounting Journal ID,Submit,Disable Optional Worktag Balancing,Locked in Workday,Round Ledger Amounts,Journal Number,Company*,Currency*,Ledger Type*,Book Code,Accounting Date*,Journal Source*,Balancing Worktag,Optional Balancing Worktags+,External Supplier Invoice Source,Record Quantity,Journal Entry Memo,External Reference ID,Document Link,Adjustment Journal,Include Tax Lines,Create Reversal,Reversal Date,Control Total Amount,Currency Rate Type,Display Account Set,Row ID*,Content Type,Filename,Encoding,Compressed,File Content,Companies Without Access+,Skip,Discard On Exit Validation Error,File Name*,Event Attachment Description,Event Attachment Category,File,Legacy Ledger Account,Workday Ledger Account SC,Legacy ID_x,Legacy ID_y,Legacy Description_x,CC_Code,Legacy ID_x.1,Legacy Description_y,RevenueCategory,Legacy ID_y.1,Legacy Description - Legacy Name: Reporting Office_x,operational_territory_oh,Legacy Description - Legacy Name: Reporting Office_y,operational_territory_rev_cog,Legacy ID,Legacy Description,Posting Type,Account Category Number,Gross margin category,Workday ID Ledger Account,bookingno,id,billing_group_name,reporting_office_name,agent,associated_agent,online,agent_code,travel_style,sub_territory,trip_code,revenue_stream,service_id,parent_trip_code,revenue_fraction,Line Key,Line Order,Line Company,Ledger Account,Account Set,Alternate Ledger Account,Debit Amount,Credit Amount,Currency,Currency Rate,Ledger Debit Amount,Ledger Credit Amount,Quantity,Unit of Measure,Quantity 2,Unit of Measure 2,Memo,Budget Date,Cost Center,Spend Category,Revenue,Revenue Stream,Operational Territory,Billing Group,Channel (How),Channel (Who),Travel Style,Bank Account,Intercompany Affiliate,Region,Balancing Worktag Affiliate,Exclude from Spend Report,Transaction Date*,Tax Type*,Taxable Amount,Tax Code*,Tax Rate*,Tax Applicability,Tax Recoverability,Tax Recoverability Type,Tax Point Date Type,Supplier,Customer,External Business Entity Name,External Business Entity Address,External Business Entity Tax ID,Line Order*,Do Not Use
1,Barbados,2,23548064,23771221,2021-08-01,20,300,20,900,41500,1603140                        ,FIT-3959203-2021-08-01         ,2849.0,0.0,2849.0,0.0,USD            ,20-900,20-300-20-900-41500,91362136,USD            ,,3959203,23548064,Y,,,Y,,,,Y,,,,Legacy_23771221,20,USD            ,Actuals,,2021-08-01,Conversion,,,,,1603140                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41500.0,FIT Revenue,RC_Private_Groups_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1603140.0,1603140.0,GEEO,Europe Gate,35643.0,0.0,0.0,736741.0,Classic,US Affinity Groups National,GPEGEOENHELBI210801-O1,Closed Departure,3959203.0,GPEGEOENHELBIE210801-O1,1.0,2,,,,Parent,,0.0,2849.0,USD            ,,0.0,2849.0,,,,,,,,,,Closed Departure,,,,,,,,,,,2021-08-01,,,,,,,,,,,,,,,
2,Barbados,3,23548064,23771221,2021-08-01,20,300,20,900,42500,1603140                        ,3983937-2021-08-01             ,48.0,0.0,48.0,0.0,USD            ,20-900,20-300-20-900-42500,91362137,USD            ,,3983937,23548064,Y,,,Y,,,,Y,,,,Legacy_23771221,20,USD            ,Actuals,,2021-08-01,Conversion,,,,,1603140                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42500.0,Transfer Revenue,RC_Transfer_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1603140.0,,,,,,,,,,,,,,,3,,,,Parent,,,,USD            ,,,,,,,,,,,,,,,,,,,,,,,,2021-08-01,,,,,,,,,,,,,,,
3,Barbados,4,23548064,23771221,2021-08-01,20,300,20,900,41501,1603140                        ,FIT-3959203-2021-08-01         ,0.0,227.92,0.0,227.92,USD            ,20-900,20-300-20-900-41501,91362138,USD            ,,3959203,23548064,Y,,,Y,,,,Y,,,,Legacy_23771221,20,USD            ,Actuals,,2021-08-01,Conversion,,,,,1603140                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41501.0,FIT Discounts/Promotions,RC_Private_Groups_Discounts,900.0,Basecamp,OT_Basecamp,,,,,,,,,1603140.0,1603140.0,GEEO,Europe Gate,35643.0,0.0,0.0,736741.0,Classic,US Affinity Groups National,GPEGEOENHELBI210801-O1,Closed Departure,3959203.0,GPEGEOENHELBIE210801-O1,1.0,4,,,,Parent,,227.92,0.0,USD            ,,227.92,0.0,,,,,,,,,,Closed Departure,,,,,,,,,,,2021-08-01,,,,,,,,,,,,,,,
4,Barbados,5,23548064,23771221,2021-08-01,20,300,20,900,43500,1603140                        ,3983932-2021-08-02             ,172.0,0.0,172.0,0.0,USD            ,20-900,20-300-20-900-43500,91362139,USD            ,,3983932,23548064,Y,,,Y,,,,Y,,,,Legacy_23771221,20,USD            ,Actuals,,2021-08-01,Conversion,,,,,1603140                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43500.0,Product Revenue,RC_Product_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1603140.0,,,,,,,,,,,,,,,5,,,,Parent,,,,USD            ,,,,,,,,,,,,,,,,,,,,,,,,2021-08-01,,,,,,,,,,,,,,,
8,Barbados,3,23548065,23771222,2021-08-01,20,300,20,900,41500,1603145                        ,FIT-3959091-2021-08-01         ,2849.0,0.0,2849.0,0.0,USD            ,20-900,20-300-20-900-41500,91362143,USD            ,,3959091,23548065,Y,,,Y,,,,Y,,,,Legacy_23771222,20,USD            ,Actuals,,2021-08-01,Conversion,,,,,1603145                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41500.0,FIT Revenue,RC_Private_Groups_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1603145.0,1603145.0,GEEO,Europe Gate,35643.0,0.0,0.0,736741.0,Classic,US Affinity Groups National,GPEGEOENHELBI210801-O1,Closed Departure,3959091.0,GPEGEOENHELBIE210801-O1,1.0,3,,,,Parent,,0.0,2849.0,USD            ,,0.0,2849.0,,,,,,,,,,Closed Departure,,,,,,,,,,,2021-08-01,,,,,,,,,,,,,,,
9,Barbados,4,23548065,23771222,2021-08-01,20,300,20,900,42500,1603145                        ,3983938-2021-08-01             ,48.0,0.0,48.0,0.0,USD            ,20-900,20-300-20-900-42500,91362144,USD            ,,3983938,23548065,Y,,,Y,,,,Y,,,,Legacy_23771222,20,USD            ,Actuals,,2021-08-01,Conversion,,,,,1603145                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42500.0,Transfer Revenue,RC_Transfer_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1603145.0,,,,,,,,,,,,,,,4,,,,Parent,,,,USD            ,,,,,,,,,,,,,,,,,,,,,,,,2021-08-01,,,,,,,,,,,,,,,
12,Barbados,7,23548065,23771222,2021-08-01,20,300,20,900,41501,1603145                        ,FIT-3959091-2021-08-01         ,0.0,227.92,0.0,227.92,USD            ,20-900,20-300-20-900-41501,91362147,USD            ,,3959091,23548065,Y,,,Y,,,,Y,,,,Legacy_23771222,20,USD            ,Actuals,,2021-08-01,Conversion,,,,,1603145                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41501.0,FIT Discounts/Promotions,RC_Private_Groups_Discounts,900.0,Basecamp,OT_Basecamp,,,,,,,,,1603145.0,1603145.0,GEEO,Europe Gate,35643.0,0.0,0.0,736741.0,Classic,US Affinity Groups National,GPEGEOENHELBI210801-O1,Closed Departure,3959091.0,GPEGEOENHELBIE210801-O1,1.0,7,,,,Parent,,227.92,0.0,USD            ,,227.92,0.0,,,,,,,,,,Closed Departure,,,,,,,,,,,2021-08-01,,,,,,,,,,,,,,,
13,Barbados,8,23548065,23771222,2021-08-01,20,300,20,900,43500,1603145                        ,3983933-2021-08-02             ,172.0,0.0,172.0,0.0,USD            ,20-900,20-300-20-900-43500,91362148,USD            ,,3983933,23548065,Y,,,Y,,,,Y,,,,Legacy_23771222,20,USD            ,Actuals,,2021-08-01,Conversion,,,,,1603145                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43500.0,Product Revenue,RC_Product_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1603145.0,,,,,,,,,,,,,,,8,,,,Parent,,,,USD            ,,,,,,,,,,,,,,,,,,,,,,,,2021-08-01,,,,,,,,,,,,,,,
17,Barbados,2,23548066,23771223,2021-08-01,20,300,20,900,41500,1604897                        ,FIT-3963333-2021-08-01         ,2849.0,0.0,2849.0,0.0,USD            ,20-900,20-300-20-900-41500,91362152,USD            ,,3963333,23548066,Y,,,Y,,,,Y,,,,Legacy_23771223,20,USD            ,Actuals,,2021-08-01,Conversion,,,,,1604897                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41500.0,FIT Revenue,RC_Private_Groups_Revenue,900.0,Basecamp,OT_Basecamp,,,,,,,,,1604897.0,1604897.0,GEEO,Europe Gate,35643.0,0.0,0.0,736741.0,Classic,US Affinity Groups National,GPEGEOENHELBI210801-O1,Closed Departure,3963333.0,GPEGEOENHELBIE210801-O1,1.0,2,,,,Parent,,0.0,2849.0,USD            ,,0.0,2849.0,,,,,,,,,,Closed Departure,,,,,,,,,,,2021-08-01,,,,,,,,,,,,,,,
18,Barbados,3,23548066,23771223,2021-08-01,20,300,20,900,41501,1604897                        ,FIT-3963333-2021-08-01         ,0.0,227.92,0.0,227.92,USD            ,20-900,20-300-20-900-41501,91362153,USD            ,,3963333,23548066,Y,,,Y,,,,Y,,,,Legacy_23771223,20,USD            ,Actuals,,2021-08-01,Conversion,,,,,1604897                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41501.0,FIT Discounts/Promotions,RC_Private_Groups_Discounts,900.0,Basecamp,OT_Basecamp,,,,,,,,,1604897.0,1604897.0,GEEO,Europe Gate,35643.0,0.0,0.0,736741.0,Classic,US Affinity Groups National,GPEGEOENHELBI210801-O1,Closed Departure,3963333.0,GPEGEOENHELBIE210801-O1,1.0,3,,,,Parent,,227.92,0.0,USD            ,,227.92,0.0,,,,,,,,,,Closed Departure,,,,,,,,,,,2021-08-01,,,,,,,,,,,,,,,
