,Company,line_key,header_key,JRNENTRY,trxdate,ACTNUMBR_1,ACTNUMBR_2,ACTNUMBR_3,ACTNUMBR_4,ACTNUMBR_5,REFRENCE,DSCRIPTN,CRDTAMNT,DEBITAMT,ORCRDAMT,ORDBTAMT,CURNCYID,CC_CODE_LEGACY,FULLGL,gp_rec_id,FUNLCURR,gp_trip_code,gp_service_id,Header Key*,Add Only,Create Journal with Errors,Accounting Journal,Auto Complete,Comment,Worker,Accounting Journal ID,Submit,Disable Optional Worktag Balancing,Locked in Workday,Round Ledger Amounts,Journal Number,Company*,Currency*,Ledger Type*,Book Code,Accounting Date*,Journal Source*,Balancing Worktag,Optional Balancing Worktags+,External Supplier Invoice Source,Record Quantity,Journal Entry Memo,External Reference ID,Document Link,Adjustment Journal,Include Tax Lines,Create Reversal,Reversal Date,Control Total Amount,Currency Rate Type,Display Account Set,Row ID*,Content Type,Filename,Encoding,Compressed,File Content,Companies Without Access+,Skip,Discard On Exit Validation Error,File Name*,Event Attachment Description,Event Attachment Category,File,Legacy Ledger Account,Workday Ledger Account SC,Legacy ID_x,Legacy ID_y,Legacy Description_x,CC_Code,Legacy ID_x.1,Legacy Description_y,RevenueCategory,Legacy ID_y.1,Legacy Description - Legacy Name: Reporting Office_x,operational_territory_oh,Legacy Description - Legacy Name: Reporting Office_y,operational_territory_rev_cog,Legacy ID,Legacy Description,Posting Type,Account Category Number,Gross margin category,Workday ID Ledger Account,bookingno,trip_code,parent_trip_code,reporting_office_name,revenue_fraction,revenue_stream,travel_style,id,billing_group_name,agent,associated_agent,online,agent_code,sub_territory,service_id,filter
1957,Barbados,1,23548344,23771501,2021-08-02,20,300,20,600,40001,1641100,GNANUPN210912-O1               ,0,299.85,0,299.85,USD            ,20-600,20-300-20-600-40001,91362704,USD            ,GNANUPN210912-O1,0,23548344,Y,,,Y,,,,Y,,,,Legacy_23771501,20,USD            ,Actuals,,2021-08-02,Conversion,,,,,1641100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40001,Land Discounts/Promotions,RC_Land_Discounts,,,,,,,,,,,,1641100,,,,,,,,,,,,,,,1
6712,Barbados,2,23549297,23772465,2021-08-03,20,300,20,100,40001,1613652,GAPzSPAAT211011-O1             ,339.08,0,339.08,0,USD            ,20-100,20-300-20-100-40001,91495773,USD            ,GAPzSPAAT211011-O1,0,23549297,Y,,,Y,,,,Y,,,,Legacy_23772465,20,USD            ,Actuals,,2021-08-03,Conversion,,,,,1613652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40001,Land Discounts/Promotions,RC_Land_Discounts,,,,,,,,,,,,1613652,,,,,,,,,,,,,,,1
6713,Barbados,3,23549297,23772465,2021-08-03,20,300,20,100,40001,1613652,GAPzSPIDT211004-O1             ,108.5,0,108.5,0,USD            ,20-100,20-300-20-100-40001,91495774,USD            ,GAPzSPIDT211004-O1,0,23549297,Y,,,Y,,,,Y,,,,Legacy_23772465,20,USD            ,Actuals,,2021-08-03,Conversion,,,,,1613652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40001,Land Discounts/Promotions,RC_Land_Discounts,,,,,,,,,,,,1613652,,,,,,,,,,,,,,,1
6718,Barbados,6,23549297,23772465,2021-08-03,20,300,20,600,40001,1613652,GAPzSPAAT211011-O1             ,0,339.08,0,339.08,USD            ,20-600,20-300-20-600-40001,91495777,USD            ,GAPzSPAAT211011-O1,0,23549297,Y,,,Y,,,,Y,,,,Legacy_23772465,20,USD            ,Actuals,,2021-08-03,Conversion,,,,,1613652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40001,Land Discounts/Promotions,RC_Land_Discounts,,,,,,,,,,,,1613652,,,,,,,,,,,,,,,1
6725,Barbados,10,23549297,23772465,2021-08-03,20,300,20,600,40001,1613652,GAPzSPIDT211004-O1             ,0,108.5,0,108.5,USD            ,20-600,20-300-20-600-40001,91495781,USD            ,GAPzSPIDT211004-O1,0,23549297,Y,,,Y,,,,Y,,,,Legacy_23772465,20,USD            ,Actuals,,2021-08-03,Conversion,,,,,1613652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40001,Land Discounts/Promotions,RC_Land_Discounts,,,,,,,,,,,,1613652,,,,,,,,,,,,,,,1
9072,Barbados,5,23594499,23817686,2021-08-05,20,300,20,900,44001,1614983,GPXXLQCSX211222-O1             ,0,7071.79,0,7071.79,USD            ,20-900,20-300-20-900-44001,91496984,USD            ,GPXXLQCSX211222-O1,0,23594499,Y,,,Y,,,,Y,,,,Legacy_23817686,20,USD            ,Actuals,,2021-08-05,Conversion,,,,,1614983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44001,Ship Revenue Promotions/Discounts,RC_Ship_Discounts,900,Basecamp,OT_Basecamp,,,,,,,,,1614983,,,,,,,,,,,,,,,1
9073,Barbados,6,23594499,23817686,2021-08-05,20,300,20,900,44001,1614983,GPXzXVUHSX211221-O1            ,0,117.91,0,117.91,USD            ,20-900,20-300-20-900-44001,91496985,USD            ,GPXzXVUHSX211221-O1,0,23594499,Y,,,Y,,,,Y,,,,Legacy_23817686,20,USD            ,Actuals,,2021-08-05,Conversion,,,,,1614983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44001,Ship Revenue Promotions/Discounts,RC_Ship_Discounts,900,Basecamp,OT_Basecamp,,,,,,,,,1614983,,,,,,,,,,,,,,,1
10934,Barbados,2,23594780,23817968,2021-08-06,20,425,20,300,40001,1610747,GPAAHRA211003-O1               ,0,358.84,0,259.8,GBP            ,20-300,20-425-20-300-40001,91498080,USD            ,GPAAHRA211003-O1,0,23594780,Y,,,Y,,,,Y,,,,Legacy_23817968,20,USD            ,Actuals,,2021-08-06,Conversion,,,,,1610747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40001,Land Discounts/Promotions,RC_Land_Discounts,,,,,,,,,,,,1610747,,,,,,,,,,,,,,,1
17219,Barbados,2,23595391,23818579,2021-08-03,20,0,20,360,47200,GPFDPBE210625-O1               ,GPFDPBE210625-O1               ,279.77,0,279.77,0,USD            ,20-360,20-000-20-360-47200,91463188,USD            ,GPFDPBE210625-O1,0,23595391,Y,,,Y,,,,Y,,,,Legacy_23818579,20,USD            ,Actuals,,2021-08-03,Conversion,,,,,GPFDPBE210625-O1               ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47200,Local sales revenue,RC_Local_Sales_Revenue,360,Middle East,OT_Middle East,,,,,,,,,2106251,,,,,,,,,,,,,,,1
17231,Barbados,2,23595394,23818582,2021-08-03,20,0,20,360,47200,GPFDPEE210627-O1               ,GPFDPEE210627-O1               ,420.45,0,420.45,0,USD            ,20-360,20-000-20-360-47200,91463200,USD            ,GPFDPEE210627-O1,0,23595394,Y,,,Y,,,,Y,,,,Legacy_23818582,20,USD            ,Actuals,,2021-08-03,Conversion,,,,,GPFDPEE210627-O1               ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47200,Local sales revenue,RC_Local_Sales_Revenue,360,Middle East,OT_Middle East,,,,,,,,,2106271,,,,,,,,,,,,,,,1
